151,,ns,part|f,,(part|f=familial part),,,
152,,a,partially material|a (property),,(b=partially material|a) & ((cJb) x^ ((dWf) & (fIg) & (dJc) & (dWh) & (hIk))) & ((cIb) t^ (cIe)) & (e=property) & (g=body|c) & (k=mind),,,
153,,n,particle,,(c=particle) & ((bIc) x^ (bSd)) & ((bIc) x^ (hTg)) & ((bIc) t^ (bIf)) & (f=non_whole) & (g=now) & (hb^bSd),,,
154,,ns,particles,,(particles=particle),,,
155,,ta,particular,,redundant,,,
156,,n,part|p,,(c=part|p) & (((bIc) & (bOFd)) x^ (dWb)),,,
157,,na,party,,postponed,,,
158,,n,person,,(c=person) & (d=personhood) & ((bIc) x^ (bHd)),,,
159,,n,personhood,,(c=personhood) & ((bHc) t^ ((bId) & (zTKw) & (zDx) & (bWz) & (bWy) & (yIe))) & (d=person) & (e=body|c),,,
160,,as,physical ,,(physical=material),,,
161,,nun,plato,,((b=plato) t^ ((bIc) & (bId))) & (c=man) & (d=individual),,,
162,,n,point,,(c=point) & ((bIc) x^ (dSb)) & ((bIc) x^ (eABb)) & ((bIc) x^ (bABm)) & ((bIc) x^ (fFb)) & ((bIc) x^ (bFj)) & ((bIc) x^ (gLb)) & ((bIc) x^ (bLk)) & ((bIc) t^ (bIh)) & (h=non_whole),,,
163,,ns,points,,(points=point),,,
164,,n,property,,(c=property) & ((bIc) x^ (dJb)) & ((bIc) t^ (bIe)) & (e=non_whole),,,
165,,n,property|n,,(c=property|n) & ((bIc) x^ (dHb)) & ((bIc) t^ (bIe)) & (e=non_whole),,,
166,,ra,R,R,variable relation,,,
167,,ra,reads,RD,postponed,,,
168,,a,red,,(c=red) & ((bJc) t^ (bINMd)),,,
169,,n,redness,,(c=redness) & ((bHc) x^ (bJd)) & (d=red),,,
170,,na,relation,,(c=relation) & ((bIc) t^ (bId)) & (d=non_whole),,,
171,,n,relationship,,(c=relationship) & ((bIc) x^ ((bWd) & (bWe) & (bWf) & (dIg) & (eIg) & (fIh))) & (g=relatum) & (h=relation),,,
172,,na,relatum,,(c=relatum) & ((bIc) x^ (bRd)) & ((eIc) x^ (fRe)),,,
173,,aa,rewarded,,postponed,,,
174,,nun,russell,,((b=russell) t^ ((bIc) & (bId))) & (c=man) & (d=individual),,,
175,,ta,same,,redundant,,,
176,,ra,saw,SEE,postponed,,,
177,,ra,see,SEE,postponed,,,
178,,na,set theory,,postponed,,,
179,,aa,sexless,,postponed,,,
180,,ra,shed,SHD,postponed,,,
181,,r,smell,SME,((bSME) t^ (bJc)) & (c=material),,,
182,,r,smells,SME,((bSME) t^ (bJc)) & (c=material),,,
183,,nun,socrates,,((b=socrates) t^ ((bIc) & (bId))) & (c=man) & (d=individual),,,
184,,ds,some,,(some=a),,,
185,,ds,some|p,,(some|p = many|d),,,
186,,nsd,something,,(something = a thing),,,
187,,na,speed limit,,postponed,,,
188,,ra,spied on,SPD,postponed,,,
189,,ra,spies on,SPD,postponed,,,
190,,ra,studied,STD,postponed,,,
191,,ra,study,STD,postponed,,,
192,,n,superset,,(c=superset) & (((bIc) & (bOFd)) x^ ((dWe) t^ (bWe)) & ((bWf) t^ ((gPh) & (nt+gPj))) & (gb^dWf),,,
193,,ra,teach,TCH,postponed,,,
194,,na,teacher,,postponed,,,
195,,ra,teaches,TCH,postponed,,,
196,,na,tear,,postponed,,,
197,,ns,tears,,(tears=tear),,,
198,,ds,that|d,,(that|d=the),,,
199,,d,the,,((the bRc) x^ ((dRc) & (dIb))),,,
200,,ta,the|r,,redundant,,,
201,,nt,there,,(there EX b) x^ (bEX),,,
202,,na,thing,,See atomic categories,,,
203,,rai,think,TK,(think=TK),,,
204,,rai,thinks,TK,(thinks=TK),,,
205,,ds,this,,(this=the),,,
206,,na,this|n,,(this|n Rc) x^ (bRc),,,
207,,n,thought,,(c=thought) & ((bIc) x^ (dTKb)) & ((bIc) t^ (bIe)) & ((bIc) x^ (bMf)) & (e=relationship),,,
208,,ns,thoughts,,(thoughts=thought),,,
209,,nu,time,,(b=time) x^ ((eTd) x^ (bWd)),,,
210,,ra,took,TAK,postponed,,,
211,,ns,universal,,(universal = concept|n),,,
212,,na,van,,postponed,,,
213,,ra,was,=,(was = =),,,
214,,ra,was|a,J,(was|a=J),,,
215,,ra,was|e,EX,(was|e = EX),,,
216,,ra,was|g,I,(was|g=I),,,
217,,ta,was|r,,redundant,,,
218,,na,water,,postponed,,,
219,,u,which,,(bRc which Qd) x^ ((bRc) & (cQd)),,,
220,,aa,white,,postponed,,,
221,,u,who,,((bRc who Qd) x^ ((bRc) & (cQd) & (bIe))) & (e=person),,,
222,,n,whole,,(c=whole) & ((bIc) x^ (bWd)),,,
223,,ns,whole|c (fallacious),,(whole|c = concept|n),,,
224,,ta,will|r,,redundant,,,
225,,n,woman,,(b=woman) & ((cIb) t^ ((cId) & (cJe))) & (d=person) & (e=female),,,
226,,nun,xenothon,,((b=xenothon) t^ ((bIc) & (bId))) & (c=man) & (d=individual),,,
227,,p,you,,((you Rb) t^ ((cRb) & (cId))) & (c=you) & (d=person),,,
228,,dc,your,,((your bRc) x^ ((dRc) & (dIb) & (eIf) & (eOWNd))) & (e=you) & (f=person),,,
